delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,state
323609,34702,16523,12475,13178,7289,hard
607216,53080,40044,37622,11898,4520,hard
285701,46883,13500,32689,8323,6392,easy
688616,109996,62216,35975,16960,6059,hard
175828,63787,6475,23150,5983,7221,easy
546809,85836,15625,36151,15197,10283,easy
328672,63025,21624,24021,10901,6653,hard
340255,98323,27431,40959,10580,10953,hard
520097,42809,21897,17011,10398,7151,easy
430077,53727,25599,33570,5118,9426,hard
484745,161295,27580,37385,34822,22752,easy
375059,59117,24622,45453,13918,18842,easy
629747,159202,17818,65862,12393,11221,hard
337730,74425,16815,21628,8812,5477,easy
209860,71642,18763,20089,5881,6401,hard
108685,35474,22122,29827,4519,3444,easy
296598,37634,27602,42652,9625,5648,hard
246686,63385,27928,34923,7246,3924,easy
132714,69964,25534,11080,7375,6618,hard
365341,53678,26225,60452,9814,10385,hard
292155,63870,15219,17356,7933,5768,easy
255797,82255,58561,64573,19506,14905,hard
491201,53591,15698,60253,7587,6422,hard
773005,131096,46451,51268,17264,12042,hard
806089,149885,52202,59575,19386,9292,easy
335492,87928,47324,53756,10712,7018,hard
484139,86537,24605,45809,12254,9242,hard
305713,107037,51292,64521,16839,12397,easy
125128,24763,35379,62848,6367,9367,hard
180023,73362,24438,97808,7537,8998,easy
501523,192369,14220,32615,13359,13234,easy
338517,98178,21320,24919,8449,6829,easy
546587,95712,19451,30978,10098,5187,easy
939375,65370,22861,64707,16420,8541,easy
813247,240648,40832,24005,10935,6597,hard
578551,74403,40481,21330,9433,6150,hard
797545,58884,37491,75164,18708,10199,easy
457430,74144,34839,38479,21015,8781,hard
428105,98501,52352,24472,13076,13462,hard
519538,109402,22070,21142,12331,11361,hard
535598,63375,18261,18413,13347,9892,easy
569037,48430,40397,34464,12856,8705,easy
428953,98916,24263,55505,14193,11692,easy
502353,31574,43391,41767,15603,10833,easy
816581,108041,17641,31764,7158,9094,hard
465160,50789,9727,11971,13707,8063,easy
476517,70138,31430,20019,4606,14327,easy
1010421,150998,37918,45824,23115,24826,hard
970870,100226,31465,40721,13110,13682,easy
97526,43873,16970,33359,16077,8210,hard
607595,80349,18588,31945,15590,9683,hard
955463,28138,10744,12681,10188,8909,hard
773481,108546,19725,30049,29599,16990,hard
433413,48064,18105,21784,16474,6643,hard
336470,34558,8580,10830,8245,4145,hard
399033,63907,13085,19181,8985,8494,hard
825372,237706,48235,19690,25244,11371,easy
471968,169121,37196,28039,22117,14398,hard
656441,127910,49280,64373,24347,15774,hard
297030,53651,22552,35360,13412,8396,easy
